solver,config,frame,t,runout,max_h,ke
mpm,mpm-B2-gimp-apic,19,0.333333,0.135568,0.014707,0.016083
mpm,mpm-B2-gimp-apic,20,0.350000,0.135568,0.011614,0.009683
mpm,mpm-B2-gimp-apic,21,0.366667,0.135568,0.008598,0.006307
mpm,mpm-B2-gimp-apic,22,0.383333,0.135568,0.005602,0.003278
mpm,mpm-B2-gimp-apic,23,0.400000,0.135568,0.002729,0.002019
mpm,mpm-B2-gimp-apic,24,0.416667,0.135568,0.002672,0.000647
mpm,mpm-B2-gimp-apic,25,0.433333,0.135568,0.002654,0.000496
mpm,mpm-B2-gimp-apic,26,0.450000,0.135568,0.002654,0.000156
mpm,mpm-B2-gimp-apic,27,0.466667,0.135568,0.002654,0.000256
mpm,mpm-B2-gimp-apic,28,0.483333,0.135568,0.002654,0.000004
mpm,mpm-B2-gimp-apic,29,0.500000,0.135568,0.002654,0.000117
mpm,mpm-B2-gimp-apic,30,0.516667,0.135568,0.002654,0.000000
